artistName,Genre,showDate,HolidayStatus,venue name,venue city,venue state,venue country,venue postalCode,merch category,productType,product size,attendance,product price,temperature_daily_mean,rain,snowfall,spotifyMonthlyListeners,Instagram,venue capacity,spotifyMissing
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Balloon Arch Tee,T-Shirt,2XL,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Balloon Arch Tee,T-Shirt,3XL,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Jazzy Balloon Tee,T-Shirt,S,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Jazzy Balloon Tee,T-Shirt,M,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Jazzy Balloon Tee,T-Shirt,L,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Jazzy Balloon Tee,T-Shirt,XL,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Jazzy Balloon Tee,T-Shirt,2XL,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Jazzy Balloon Tee,T-Shirt,3XL,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Est. 1975 Guitar T-Shirt,T-Shirt,S,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Est. 1975 Guitar T-Shirt,T-Shirt,M,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Est. 1975 Guitar T-Shirt,T-Shirt,L,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Est. 1975 Guitar T-Shirt,T-Shirt,XL,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Est. 1975 Guitar T-Shirt,T-Shirt,2XL,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Est. 1975 Guitar T-Shirt,T-Shirt,3XL,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,This Girl Loves Her Air Supply T-Shirt,T-Shirt,S,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,This Girl Loves Her Air Supply T-Shirt,T-Shirt,M,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,This Girl Loves Her Air Supply T-Shirt,T-Shirt,L,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,This Girl Loves Her Air Supply T-Shirt,T-Shirt,XL,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,This Girl Loves Her Air Supply T-Shirt,T-Shirt,2XL,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Bling Logo Tank,Tank Top,S,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Bling Logo Tank,Tank Top,M,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Bling Logo Tank,Tank Top,L,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Bling Logo Tank,Tank Top,XL,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Bling Logo Tank,Tank Top,2XL,0,40.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Balloon Arch Hoodie,Sweatshirt,S,0,75.0,15.0,0.0,0.0,9197653,347,0,0
Air Supply,Pop,2026-04-26,1,,Orlando,FL,United States,,Balloon Arch Hoodie,Sweatshirt,M,0,75.0,15.0,0.0,0.0,9197653,347,0,0
